Instruction,Input,Output
"Edit the program in Python, so it prints out the sum of the list of numbers and the average","[10, 15, 20, 25]","arr = [10, 15, 20, 25]

totalSum = 0
for x in arr:
    totalSum += x

print(""Sum of the list: ""+str(totalSum)) 
print(""Average of the list: ""+str(totalSum/len(arr)))

Output:
Sum of the list: 70
Average of the list: 17.5"
Create a Python method that takes in an array of strings and returns a string that includes all the strings in the array combined into a single string.,"[""This"", ""is"", ""a"", ""sentence""]","def combine_strings(strings): 
    return ' '.join(strings)"
"Using the input provided, build a Python dictionary with the number as the key and its square as the value.","numbers = [2, 3, 4]",square_dict = {number:number**2 for number in numbers}
Create a program in Python to check if a given list is a subsequence of another given list,"[1,2,3,4], [1,2,5,6,7,3,4]","def is_subsequence(sub_list, main_list):
    i, j = 0, 0
    n1, n2 = len(sub_list), len(main_list)
    while i < n1 and j < n2:
        if sub_list[i] == main_list[j]:
            i += 1
        j += 1
    return i == n1"
Develop a python program to filter a provided array of strings and return only those strings that are longer than 3 characters.,"['Cat', 'Dog', 'Bird', 'Fish', 'Turtle']","def filter_long_words(words):
 filtered_words = []
 
 for word in words:
  if len(word) > 3:
   filtered_words.append(word)
   
 return filtered_words
 
words = ['Cat', 'Dog', 'Bird', 'Fish', 'Turtle']
long_words = filter_long_words(words)
 
print(long_words) # Output: ['Bird', 'Fish', 'Turtle']"
Create a Python program to take two numbers as input and list their lowest common multiple?,"a = 15, b = 20","def LCM(x, y):
   if x > y:
       z = x
   else:
       z = y

   while(True):
       if((z % x == 0) and (z % y == 0)):
           lcm = z
           break
       z += 1

   return lcm

a = 15
b = 20
print(LCM(a, b))"
Create a program in Python to generate and print all possible permutations of a given set of characters.,"[A, B, C]","import itertools
 
def permutations(characters):
 permut = itertools.permutations(characters)

 for p in list(permut): 
 print("""".join(p))

# Usage
characters = ['A', 'B', 'C']
permutations(characters)

# Output
ABC
ACB
BAC
BCA
CAB
CBA"
Write an algorithm in Python that takes an array of integers as input and checks if it is a palindrome.,"[1, 2, 3, 4, 3, 2, 1]","def is_palindrome(arr):
    mid = len(arr) // 2 
    for i in range(mid):
        if arr[i] != arr[-i - 1]:
            return False
    return True

result = is_palindrome([1, 2, 3, 4, 3, 2, 1])
print(result) # True"
Create a program in Python that will find all the prime factors of a number,120,"def prime_factors(n):
    factors = []
    i = 2
    while n > 1:
        while n % i == 0:
            factors.append(i)
            n /= i
        i += 1
    return factors"
Write a Python function that joins two lists of different sizes in an alternating fashion.,"list1 = [1, 3, 5, 7, 9]
list2 = [2, 4, 6, 8]","def joinLists(list1, list2):
 mergedList = []
 
 for i in range(max(len(list1), len(list2))):
  if i < len(list1):
   mergedList.append(list1[i])
  if i < len(list2):
   mergedList.append(list2[i])
 
 return mergedList"
Write a Python program to apply a function to all the elements of a given list and return the mapped list.,"[1, 2, 3, 4, 5]","def applyFunc(lst, func):
    mapped_list = []
    for el in lst:
        mapped_list.append(func(el))
    return mapped_list

def square(x):
    return x*x

lst = [1, 2, 3, 4, 5]

print(applyFunc(lst, square))"
Create a Python function that takes a string and outputs the count of the number of uppercase letters in the string.,‘Hello World’,"def countUppercase(myStr):
    uppercaseCount = 0
    for l in myStr:
        if l.isupper():
            uppercaseCount+=1
    return uppercaseCount

print(countUppercase('Hello World'))"
Upload a python program on GitHub which will print the total number of vowels in a given string.,"String = ""Hello World!""","import re

def count_vowels(string):
    vowels = re.findall(r'[aeiou]', string, re.I)
    return len(vowels)

if __name__ == '__main__':
    string = ""Hello World!""
    print(""Number of vowels in the given string:"", count_vowels(string))"
Reverse an input string using Python.,Hello World!,"def rev_string(s): 
   return s[::-1] 
  
s = ""Hello World!""
print(rev_string(s))"
Can you provide a Python script to print the largest and smallest number from a given list?,"[1, 6, 4, -3, 7, 8, 11]","def largest_smallest(arr):
    max_num = arr[0]
    min_num = arr[0]

    for i in arr:
        if i > max_num:
            max_num = i
        if i < min_num:
            min_num = i

    print(""The largest number is"", max_num, ""and the smallest number is"", min_num)"
Find a way to swap two values without using a temporary variable in Python.,"a = 2
b = 5","a, b = b, a"
"Write a Python program to calculate the sum of two given integers, but only if both of them are even.","num1 = 6
num2 = 8","def sum_of_two_ints(a,b): 
    if (a % 2 == 0 and b % 2 == 0): 
        return a+b 
    else: 
        return ""Wrong input""

print(sum_of_two_ints(num1,num2))"
Write a script in python that can take a magnitude and corresponding angle (in degrees) and convert it to vectors in three-dimensional space.,"magnitude: 5
angle: 90","import math

def magnitude_to_vector(magnitude, angle):
    x = magnitude * math.cos(math.radians(angle))
    y = magnitude * math.sin(math.radians(angle))
    z = 0
    
    return (x, y, z)

result = magnitude_to_vector(5, 90)

print(f""The vector is {result}"")"
Code a function in Python to find the Fibonacci number at a given index.,index = 5,"def fibonacci_at_index(index): 
    if index < 0: 
        return -1
    if index == 0 or index == 1: 
        return index 
    return fibonacci_at_index(index - 1) + fibonacci_at_index(index - 2) 

print(fibonacci_at_index(index)) # 5"
"Use Python to optimize a function f(x, y) so that it attains its maximum for any given set of x and y.","f(x,y) = 3x^2 + 2xy + 5y^2","from scipy.optimize import fmin

def f(x, y):
 return 3*x**2 + 2*x*y + 5*y**2

x, y = fmin(f, 0, 0)

print(f'The maximum of f(x,y) is {f(x, y)} at (x, y) = ({x:0.5f}, {y:0.5f})')"
Consider the following python code. Write a code to modify this such that it generates the output shown.,"def get_year_from_date(date):
    year = date.split('-')[0]
    return int(year)","def get_year_from_date(date):
    """"""
    This function takes a string date in the form of a yyyy-mm-dd and returns the year as an integer
    """"""
    year = date.split('-')[0]
    return int(year)"
Create a Python program that shuffles the elements of an array.,"arr = [""A"", ""B"", ""C"", ""D""]","import random

def shuffleArray(arr):
    n = len(arr)

    for i in range(n-1, 0, -1):
        j = random.randint(0, i)
        arr[i], arr[j] = arr[j], arr[i] 
    
    return arr

arr = [""A"", ""B"", ""C"", ""D""]
shuffleArray(arr)
print(arr)"
"Develop an algorithm in Python for given an array containing n distinct numbers taken from 0, 1, 2, …, n, find the one that is missing from the array.","Array : [2, 3, 1, 5, 4]","def missingNumber(arr): 
    n = len(arr) 
    total = (n + 1)*(n + 2)/2
    sum_of_arr = sum(arr) 
    return total - sum_of_arr 

arr = [2, 3, 1, 5, 4]
missing = missingNumber(arr) 
print(missing)"
Design a Python method to find the largest number in an array of integers.,"[-10, 10, 1, -100]","def find_largest_number(nums):
    biggest = nums[0]
    for num in nums:
        if num > biggest:
            biggest = num
    return biggest

nums = [-10, 10, 1, -100]
print(find_largest_number(nums))"
Design a Python program which sorts a list of integers from lowest to highest.,"[5, 2, 4, 1, 3]","def sort_list(list):
     for i in range(0, len(list)): 
          for j in range(0, len(list) - 1 - i): 
               if list[j] > list[j + 1]: 
                    list[j], list[j + 1] = list[j + 1], list[j]
     return list

list = [5, 2, 4, 1, 3]

sorted_list = sort_list(list)

print(sorted_list)"
Write a Python program to split a string on the first occurrence of a given substring.,"string = ""www.example.com""
substring = "".""","string_list = string.split(substring,1)
print(string_list)"
Write a Python code to detect the Odd or Even numbers in a given list.,"list = [1, 2, 3, 4, 5]","for num in list: 
    if num % 2 == 0: 
        print(num, ""is an even number"") 
    else: 
        print(num, ""is an odd number"")"
Optimize the given code in Python to reduce its complexity,"my_list = [1, 2, 3, 4, 5]
total = 0

for x in my_list:
    total = total + x","my_list = [1, 2, 3, 4, 5]
total = sum(my_list)

print(""Sum of all elements in given list:"", total)"
Can you write a python program to identify the last index of a given element in a list?,"The list [2, 5, 9, 2, 4] and the element 2","# Define the list
list_ = [2, 5, 9, 2, 4]
  
# Find the last index of element 2
last_index = len(list_) - list_[::-1].index(2) - 1
  
# Print the result
print(last_index)"
Construct a program in Python to filter a list of stocks by price,"stocks = [{‘ticker’:’AAPL’,‘price’: 233.5}, {‘ticker’:’MSFT’,‘price’: 115.8}, {‘ticker’:’GOOGL’, ‘price’: 1234.5}] , price_limit = 100","stocks = [{‘ticker’:’AAPL’,‘price’: 233.5}, {‘ticker’:’MSFT’,‘price’: 115.8}, {‘ticker’:’GOOGL’, ‘price’: 1234.5}]
price_limit = 100

filtered_stocks = [stock for stock in stocks if stock[""price""] > price_limit]

print(filtered_stocks)"
Generate a Python program to classify a given feature set into two classes,"features = [[9, 3], [7, 2], [4, 1], [0, 5]]
class_labels = ['good', 'bad']","def classify(features, class_labels):
    decision_boundary = 5 
    predictions = []
    for feature in features:
        if feature[0] > decision_boundary:
            predictions.append(class_labels[0])
        else:
            predictions.append(class_labels[1])
    return predictions"
Generate Python code to perform an action based on a given condition.,"Condition: If the user input is an integer, print ""You have entered an integer""","user_input = input(""Enter a number:"")
if user_input.isdigit():
   print(""You have entered an integer."")"
Write a function in Python to evaluate an algebraic expression,"exp= ""((x+y)^2)*(x+1)""
x=2
y=3","def evaluate_expr(expr,x,y):
    x = float(x)
    y = float(y)

    def eval_expr(expr):
        return eval(expr)

    evaluation = eval_expr(expr.replace(""x"", str(x)).replace(""y"", str(y)))
    return evaluation
 
exp = ""((x+y)^2)*(x+1)""
x = 2
y = 3
print(evaluate_expr(exp,x,y))"
Develop an algorithm to sort a list of numbers from low to high inPython.,"[5, 7, 1, 6, 10, 4, 2]","def sort_numbers(nums):
    for i in range(len(nums)):
        for j in range(i+1, len(nums)):
            if nums[i] > nums[j]:
                temp = nums[j]
                nums[j] = nums[i]
                nums[i] = temp
    return nums

print(sort_numbers([5, 7, 1, 6, 10, 4, 2]))"
Edit the following Python function to return a sorted list of the words in the given string.,"def get_words(text):
    words = text.split()
    return words","def get_words(text):
    words = text.split()
    return sorted(words)"
